5;levis, -e;;;";";leggero;;sì;30;30
6;vetus, -eris;;;";";vecchio;;sì;30;30
7;sat (satis), satis (agg.);;;";";sufficiente;;sì;30;30
8;potis, -e;;;";";potente, possibile;;sì;30;30
9;prior, prius;;;";";"primo (fra due - comparativo di ""prae"")";;sì;30;30
10;mollis, -e;;;";";molle, debole;;sì;30;30
11;ostendo;";";ostendo, -is, ostendi, ostensum, -ere;||;mostrare;;sì;30;30
12;prosum;";";prosum, prodes, profui, prodesse;||;giovare, essere utile;;sì;30;30
13;verto;";";verto, -is, verti, versum, -ere;||;girare;;sì;30;30
14;"premo (oltre a ""premere"")";";";premo, -is, pressi, pressum, -ere ;||;mettere incinta, stuprare;;sì;30;30
;;;;;;;;;
;;;;;;;;;
*;coepio;";";coepio, -is, coepi, coeptum, -ere;||;iniziare;;sì;30;30
*;odi;";";odi, odisti, odisse;||;odio (verbo difettivo - ricordane il valore resultativo);;sì;30;30
*;memini;";";memini, meministi, meminisse;||;(mi) ricordo (verbo difettivo - ricordane il valore resultativo);;sì;30;30
*;inquam;";";inquam, inquis, inquii, -;||;"dire (verbo difettivo - si trova spesso alla terza persona ""inquit"", uguale per presente e perfetto)";;sì;30;30
*;licet;";";licet, licuit/licitum est, -ere;||;si può, è lecito (verbo difettivo impersonale - si trova solo alla terza persona);;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;"manus, -us (oltre a ""mano"")";;;";";schiera, forza;;sì;30;30
2;domus, -us;;;";";casa;;sì;30;30
3;metus, -us;;;";";paura;;sì;30;30
4;impetus, -us;;;";";assalto;;sì;30;30
5;casus, -us;;;";";circostanza, morte;;sì;30;30
6;res, -ei;;;";";cosa;;sì;30;30
7;fides, -ei;;;";";fiducia, fedeltà;;sì;30;30
8;spes, -ei;;;";";speranza;;sì;30;30
9;acies, -ei;;;";";acutezza, esercito (schierato);;sì;30;30
10;species, -ei;;;";";aspetto esteriore, immagine;;sì;30;30
11;facies, -ei;;;";";aspetto esteriore, immagine;;sì;30;30
12;pernicies, -ei;;;";";rovina;;sì;30;30
13;res frumentaria;;;";";viveri;;sì;30;30
14;res gestae ;;;";";imprese;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;iaceo;";";iaceo, -es, iacui, -ere;||;giacere;;sì;30;30
2;pereo;";";pereo, -is, -i(v)i, (part. fut. periturus), -ire;||;perire;;sì;30;30
3;servo;";";servo, -as, -avi, -atum, -are;||;salvare, conservare;;sì;30;30
4;transeo;";";transeo, -is, -i(v)i, -itum, -ire;||;passare;;sì;30;30
5;intelligo/intellego;";";intelligo/intellego, -is, -lexi, -lectum, -ere;||;capire;;sì;30;30
6;praesto;";";praesto, -as, praestiti, praestitum, -are;||;eccellere;;sì;30;30
7;tollo;";";tollo, tollis, sustuli, sublatum, tollere;||;alzare;;sì;30;30
8;redeo;";";redeo, -is, -i(v)i, -itum, -ire;||;tornare;;sì;30;30
9;excipio;";";excipio, -is, -cepi, -ceptum, -ere;||;ricevere;;sì;30;30
10;"cedo (oltre a ""cedere"")";";";cedo, -is, cessi, cessum, -ere ;||;avanzare, andarsene, trasformarsi;;sì;30;30
11;cogito;";";cogito, -as, -avi, -atum, -are;||;pensare;;sì;30;30
12;iudico;";";iudico, -as, -avi, -atum, -are;||;giudicare;;sì;30;30
13;rapio;";";rapio, -is, -ui, raptum, -ire;||;strappare, rapire;;sì;30;30
14;eripio;";";eripio, -is, eripui, ereptum, -ere;||;portar via;;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;colo;";";colo, -is, colui, cultum, -ere;||;venerare, coltivare;;sì;30;30
2;aio;";";aio, ais, -;||;"dire (verbo difettivo - si trova spesso alla terza persona ""ait"", uguale per presente e perfetto)";;sì;30;30
3;solvo;";";solvo, -is, solvi, solutum, -ere;||;sciogliere, salpare;;sì;30;30
4;"occupo (oltre a ""occupare"")";";";occupo, -as, -avi, -atum, -are ;||;precedere;;sì;30;30
5;amitto;";";amitto, -mittis, -misi, -missum, -ere;||;perdere;;sì;30;30
6;doceo;";";doceo, -es, docui, doctum, -ere;||;insegnare;;sì;30;30
7;nosco;";";nosco, -is, novi, notum, -ere;||;sapere, venire a sapere (ricordane il valore resultativo del perfetto);;sì;30;30
8;efficio;";";efficio, -is, -feci, -fectum, -ere;||;fare in modo;;sì;30;30
9;maneo;";";maneo, -es, mansi, mansum, -ere;||;rimanere;;sì;30;30
10;adicio;";";adicio, -is, -ieci, -iectum, -ere;||;gettare;;sì;30;30
11;affero;";";affero, -fers, attuli, allatum, afferre;||;portare, aggiungere, riferire;;sì;30;30
12;compono;";";compono, -is, composui, compositum, componere;||;avvicinare, riunire, riporre;;sì;30;30
13;sumo;";";sumo, -is, sumpsi, sumptum, -ere;||;prendere;;sì;30;30
14;absum;";";absum, -es, -fui, -esse;||;"mancare (ricorda che “adsum”, al contrario, significa ""esserci"")";;sì;30;30
;;;;;;;;;
;;;;;;;;;
1;desum;";";desum, -es, -fui, -esse;||;mancare ;;sì;30;30
2;incipio;";";incipio, -is, -cepi, -ceptum, -ere;||;iniziare;;sì;30;30
3;opto;";";opto, -as, -avi, -atum, -are;||;scegliere, desiderare;;sì;30;30
4;tento/tempto;";";tento/tempto, -as, -avi, -atum, -are;||;toccare;;sì;30;30
5;"exigo (oltre a ""esigere"")";";";exigo, -is, exegi, exactum, -ere ;||;espellere, mandar fuori, produrre;;sì;30;30
6;impero;";";impero, -as, -avi, -atum, -are;||;comandare;;sì;30;30
7;specto;";";specto, -as, -avi, -atum, -are;||;guardare;;sì;30;30
8;scribo;";";scribo, -is, scripsi, scriptum, -ere;||;scrivere;;sì;30;30
9;addo;";";addo, -is, addidi, additum, -ere;||;aggiungere;;sì;30;30
10;disco;";";disco, -is, didici, -ere;||;imparare;;sì;30;30
